[9:1:31] Selected file: C:\Users\J Tech\Documents\hhhh.bin

[9:1:41] Loaded file: C:\Users\J Tech\Documents\hhhh.bin (44400 bytes)

[9:1:41] Upload started

[9:1:41] Connecting to microcontroller...

[9:1:41] Starting upload...

[9:1:41] Initializing ESP8266 connection...

[9:1:41] Initializing ESP8266 connection...

[9:1:41] Initializing ESP8266 connection...

[9:1:41] Initializing ESP8266 connection...

[9:1:41] Initializing ESP8266 connection...

[9:1:41] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:42] Initializing ESP8266 connection...

[9:1:43] Initializing ESP8266 connection...

[9:1:43] Initializing ESP8266 connection...

[9:1:43] Initializing ESP8266 connection...

[9:1:43] Initializing ESP8266 connection...

[9:1:43] Initializing ESP8266 connection...

[9:1:43] Initializing ESP8266 connection...

[9:1:43] Initializing ESP8266 connection...

[9:1:43] Initializing ESP8266 connection...

[9:1:43] Initializing ESP8266 connection...

[9:1:44] Initializing ESP8266 connection...

[9:1:44] Initializing ESP8266 connection...

[9:1:44] Initializing ESP8266 connection...

[9:1:44] Initializing ESP8266 connection...

[9:1:44] Initializing ESP8266 connection...

[9:1:44] Initializing ESP8266 connection...

[9:1:44] Initializing ESP8266 connection...

[9:1:44] Initializing ESP8266 connection...

[9:1:44] Initializing ESP8266 connection...

[9:1:45] Initializing ESP8266 connection...

[9:1:45] Initializing ESP8266 connection...

[9:1:45] Initializing ESP8266 connection...

[9:1:45] Initializing ESP8266 connection...

[9:1:45] Initializing ESP8266 connection...

[9:1:45] Initializing ESP8266 connection...

[9:1:45] Initializing ESP8266 connection...

[9:1:45] Initializing ESP8266 connection...

[9:1:45] Initializing ESP8266 connection...

[9:1:46] Initializing ESP8266 connection...

[9:1:46] Initializing ESP8266 connection...

[9:1:46] Initializing ESP8266 connection...

[9:1:46] Initializing ESP8266 connection...

[9:1:46] Initializing ESP8266 connection...

[9:1:46] Initializing ESP8266 connection...

[9:1:46] Upload failed

[9:1:46] Error: Failed to establish ESP8266 connection

[9:1:46] Upload failed

[9:1:46] Error: Failed to establish ESP8266 connection

